dn_group,muscle,numerator_synapses,denominator_input,denominator_output,input_fraction,output_fraction,geometric_mean_fraction
DNg02,ps1,840,15287,5907.0,0.05494864917904101,0.14220416455053325,0.08839641819488996
DNp63,hg2,155,3603,1237.0,0.04301970580072162,0.12530315278900567,0.07342005699320789
DNa10,i2,421,14380,3162.0,0.029276773296244785,0.13314358001265023,0.06243408050000247
DNp31,DLM1,728,35422,4725.0,0.020552199198238384,0.15407407407407409,0.05627220505413403
DNg82,hg2,128,3603,1511.0,0.035525950596724955,0.08471211118464593,0.05485871195070117
DNp31,ps1,361,15287,4725.0,0.02361483613527834,0.0764021164021164,0.04247615165271497
DNg110,ps1,159,15287,925.0,0.010400994308889907,0.17189189189189188,0.04228293496567955
DNa08,DLM1,211,35422,744.0,0.005956750042346564,0.28360215053763443,0.04110166811973245
DNg04,hg1,153,11512,1323.0,0.013290479499652537,0.11564625850340136,0.03920451795202912
DNp49,iii1,212,7890,3814.0,0.026869455006337136,0.05558468799160986,0.038646219388600606
DNg04,hg4,147,11215,1323.0,0.013107445385644227,0.1111111111111111,0.0381625840402237
DNa04,hg1,233,11512,3294.0,0.020239749826268243,0.07073466909532483,0.03783717757091882
DNg26,ps1,61,15287,188.0,0.003990318571335121,0.324468085106383,0.03598237104201924
DNpe005,hg2,101,3603,2309.0,0.028032195392728283,0.04374187960155912,0.03501686616240952
DNg05,hg2,92,3603,2096.0,0.025534276991396057,0.04389312977099236,0.03347804255914332
DNxn125,b1,148,6460,3063.0,0.022910216718266253,0.04831864185439112,0.03327146760238254
DNa07,hg1,57,11512,293.0,0.00495135510771369,0.1945392491467577,0.031035993699470698
DNge148,DVM3A,69,3075,1715.0,0.0224390243902439,0.0402332361516035,0.030046540022176823
DNg05,hg3,113,7292,2096.0,0.015496434448710916,0.053912213740458015,0.02890410154656082
DNg82,DLM1,205,35422,1511.0,0.005787363785218226,0.1356717405691595,0.028021094162210654
DNut051,DLM1,135,35422,661.0,0.003811190785387612,0.2042360060514372,0.02789950509072887
DNut053,DLM1,157,35422,920.0,0.00443227372819152,0.17065217391304346,0.027502311668177144
DNp31,DVM1A,176,10428,4725.0,0.016877637130801686,0.037248677248677246,0.02507328574809299
DNxn124,i2,190,14380,4217.0,0.01321279554937413,0.04505572682001423,0.02439901856225575
DNut040,hg3,111,7292,3173.0,0.015222161272627537,0.03498266624645446,0.02307621692024136
DNg02,DLM1,330,35422,5907.0,0.009316244142058607,0.055865921787709494,0.02281360485752861
DNbe005,hg1,75,11512,966.0,0.006514940931202224,0.07763975155279502,0.022490406738867035
DNg27,DLM5,104,10854,2049.0,0.009581721024507094,0.05075646656905808,0.022052988524334637
DNut037,i1,78,10448,1248.0,0.007465543644716692,0.0625,0.021600844376894003
DNg17,b2,111,12969,2121.0,0.008558871154291001,0.05233380480905234,0.021164080239275546
DNxn125,b2,132,12969,3063.0,0.010178117048346057,0.043095004897159644,0.02094340001151526
DNxn122,hg2,57,3603,2069.0,0.01582014987510408,0.027549540840985983,0.020876730229964155
DNp31,DVM2A,68,2270,4725.0,0.029955947136563875,0.014391534391534391,0.02076323778814001
DNp31,DLM5,148,10854,4725.0,0.013635526073337019,0.03132275132275132,0.02066645088906238
DNa08,b3,52,8553,744.0,0.006079738103589384,0.06989247311827956,0.02061378014754453
DNge148,DVM1A,86,10428,1715.0,0.008247027234369007,0.05014577259475218,0.020336016135846183
DNg10,hg4,105,11215,2498.0,0.009362460989745877,0.042033626901521216,0.01983779705821756
DNb07,hg2,90,3603,5845.0,0.02497918401332223,0.015397775876817793,0.019611830027382086
untyped_720575941434874912,ps1,30,15287,157.0,0.0019624517563943218,0.1910828025477707,0.019364678708324135
DNut053,DLM5,61,10854,920.0,0.005620047908605122,0.06630434782608696,0.019303720142278963
DNa08,DVM2A,25,2270,744.0,0.011013215859030838,0.033602150537634407,0.01923714472572832
DNp03,DLM1,126,35422,1243.0,0.0035571113996951047,0.10136765888978279,0.018988840275205095
DNp26,hg2,47,3603,1702.0,0.013044684984734944,0.027614571092831962,0.01897955165156861
DNp57,hg2,40,3603,1267.0,0.011101859561476548,0.03157063930544594,0.018721453037493972
DNa15,b3,108,8553,3921.0,0.012627148368993335,0.02754399387911247,0.018649453005013243
DNa05,i1,100,10448,2830.0,0.009571209800918835,0.0353356890459364,0.018390358705546957
DNa16,hg4,112,11215,3448.0,0.009986625055728934,0.03248259860788863,0.01801087263662498
DNge015,ps1,20,15287,81.0,0.001308301170929548,0.24691358024691357,0.017973239167035082
DNa04,b3,91,8553,3294.0,0.010639541681281423,0.027625986642380085,0.01714432373609781
DNae002,b3,80,8553,2574.0,0.00935344323629136,0.03108003108003108,0.017050082301538663
DNg27,DLM1,145,35422,2049.0,0.004093501213934842,0.07076622742801367,0.017020036365477106
DNg82,DLM5,68,10854,1511.0,0.0062649714391007924,0.04500330906684315,0.016791201445066344
DNpe010,hg3,11,7292,60.0,0.0015085024684585847,0.18333333333333332,0.016630056701168336
DNg92,hg2,25,3603,630.0,0.006938662225922842,0.03968253968253968,0.016593484839656867
DNa04,i1,95,10448,3294.0,0.009092649310872895,0.028840315725561626,0.016193667802798246
DNg50,DLM5,34,10854,419.0,0.0031324857195503962,0.081145584725537,0.01594325516816787
DNp31,DVM3A,60,3075,4725.0,0.01951219512195122,0.012698412698412698,0.015740835629358806
DNa10,b3,80,8553,3162.0,0.00935344323629136,0.02530044275774826,0.015383310930603892
DNut040,hg2,51,3603,3173.0,0.014154870940882597,0.016073116924046643,0.015083530610490241
DNp05,iii1,51,7890,1555.0,0.006463878326996198,0.03279742765273312,0.014560171076801515
DNg02,DVM1A,113,10428,5907.0,0.01083621020329881,0.019129845945488402,0.01439774398376481
DNpe053,DVM1A,46,10428,997.0,0.004411200613732259,0.04613841524573721,0.014266247076531019
DNxn007,hg1,49,11512,1089.0,0.0042564280750521195,0.04499540863177227,0.013839065017143245
DNut053,hg3,35,7292,920.0,0.0047997805814591335,0.03804347826086957,0.013512969629496118
DNut051,DLM5,36,10854,661.0,0.003316749585406302,0.05446293494704992,0.013440235001875458
DNp03,b3,43,8553,1243.0,0.005027475739506606,0.03459372485921158,0.013187839567906975
DNb01,hg2,37,3603,2226.0,0.010269220094365806,0.016621743036837375,0.013064927768544121
DNp51,b3,41,8553,1172.0,0.0047936396585993215,0.03498293515358362,0.012949733021434333
DNut040,hg1,78,11512,3173.0,0.006775538568450313,0.02458241411913016,0.012905777580982245
DNut040,b2,82,12969,3173.0,0.006322769681548307,0.025843050740624016,0.012782787555988407
DNxn125,hg2,42,3603,3063.0,0.011656952539550375,0.013712047012732615,0.012642811445541201
DNxn007,hg2,25,3603,1089.0,0.006938662225922842,0.02295684113865932,0.012621004969309178
DNa08,DLM5,35,10854,744.0,0.003224617652478349,0.04704301075268817,0.012316481758150217
DNb07,hg3,80,7292,5845.0,0.010970927043335162,0.013686911890504704,0.012253901900998052
DNp03,ps1,52,15287,1243.0,0.003401583044416825,0.0418342719227675,0.011929071633954118
DNp03,hg2,25,3603,1243.0,0.006938662225922842,0.02011263073209976,0.011813329383571571
DNp60,hg3,25,7292,645.0,0.003428414701042238,0.03875968992248062,0.011527544870356014
DNa15,i1,73,10448,3921.0,0.006986983154670751,0.018617699566437135,0.011405330036847561
DNg92,hg4,30,11215,630.0,0.0026749888542131075,0.047619047619047616,0.01128629352928567
DNg110,DLM1,64,35422,925.0,0.0018067867427022754,0.06918918918918919,0.011180792000808647
DNa15,hg1,75,11512,3921.0,0.006514940931202224,0.019127773527161437,0.011163167770613788
DNp33,i2,61,14380,2152.0,0.004242002781641168,0.028345724907063198,0.01096552068546667
DNp03,DLM5,40,10854,1243.0,0.0036852773171181133,0.032180209171359615,0.010890041088964167
DNp22,b3,63,8553,3983.0,0.0073658365485794455,0.015817223198594025,0.01079384457611108
DNge015,DLM1,18,35422,81.0,0.000508158771385015,0.2222222222222222,0.01062657853774639
DNge092,hg4,18,11215,260.0,0.0016049933125278646,0.06923076923076923,0.01054110628143671
DNp33,iii4,52,12155,2152.0,0.0042780748663101605,0.024163568773234202,0.010167278704212366
DNp28,i1,40,10448,1494.0,0.0038284839203675345,0.02677376171352075,0.010124372385879835
DNg08,i2,62,14380,2684.0,0.004311543810848401,0.023099850968703428,0.00997978053243826
DNa07,b2,19,12969,293.0,0.0014650319993831445,0.06484641638225255,0.009746900791806765
DNa07,hg2,10,3603,293.0,0.002775464890369137,0.034129692832764506,0.009732716176711466
DNp33,DVM1A,46,10428,2152.0,0.004411200613732259,0.02137546468401487,0.009710379134356116
DNp33,hg1,48,11512,2152.0,0.004169562195969423,0.022304832713754646,0.009643722687359557
DNp22,i1,62,10448,3983.0,0.0059341500765696786,0.015566156163695707,0.009611030474964194
DNxl082,iii4,23,12155,473.0,0.0018922254216371863,0.048625792811839326,0.009592234427172072
DNa10,i1,55,10448,3162.0,0.00526416539050536,0.01739405439595193,0.009568969597179091
DNp63,hg1,36,11512,1237.0,0.0031271716469770676,0.02910266774454325,0.009539865692038315
DNb01,i1,45,10448,2226.0,0.004307044410413476,0.02021563342318059,0.00933111091662069
DNg02,DVM3A,39,3075,5907.0,0.012682926829268294,0.006602336211274758,0.0091507894233135
DNxn113,DVM3A,8,3075,249.0,0.0026016260162601626,0.0321285140562249,0.009142558615204773
DNbe005,hg2,17,3603,966.0,0.004718290313627533,0.017598343685300208,0.009112304568342755
DNa08,DVM1A,25,10428,744.0,0.002397391637897967,0.033602150537634407,0.00897538381988834
DNut053,hg2,16,3603,920.0,0.004440743824590619,0.017391304347826087,0.008788078708351712
DNut040,hg4,52,11215,3173.0,0.004636647347302719,0.016388276079420106,0.008717032569086102
DNae003,b3,38,8553,2264.0,0.004442885537238396,0.01678445229681979,0.00863547337208612
DNg93,ps1,104,15287,9520.0,0.00680316608883365,0.010924369747899159,0.008620922329471932
DNp26,i1,36,10448,1702.0,0.003445635528330781,0.021151586368977675,0.008537016895468026
DNpe010,hg4,7,11215,60.0,0.0006241640659830584,0.11666666666666667,0.008533413211098875
DNg91,b3,30,8553,1459.0,0.00350754121360926,0.0205620287868403,0.008492476871046654
DNa04,hg4,51,11215,3294.0,0.004547481052162282,0.015482695810564663,0.008390903755551911
DNge071,b3,14,8553,341.0,0.0016368525663509879,0.04105571847507331,0.00819769224533999
DNut047,b3,19,8553,634.0,0.002221442768619198,0.02996845425867508,0.008159240528359792
DNb05,b2,65,12969,5058.0,0.005011951576837073,0.012850929221035983,0.008025474127625913
DNxn122,hg1,39,11512,2069.0,0.0033877692842251565,0.018849685838569358,0.007991144267324873
DNa07,iii4,15,12155,293.0,0.0012340600575894694,0.051194539249146756,0.007948404623197564
DNut040,b1,35,6460,3173.0,0.005417956656346749,0.011030570438071227,0.007730663136384206
DNxn109,hg4,20,11215,597.0,0.0017833259028087382,0.03350083752093802,0.007729353874475903
DNg42,b3,27,8553,1428.0,0.003156787092248334,0.018907563025210083,0.007725745977176252
DNg02,DVM2A,28,2270,5907.0,0.012334801762114538,0.004740138818351109,0.007646481063160019
DNxn136,b3,12,8553,303.0,0.0014030164854437039,0.039603960396039604,0.007454194076122725
DNp28,b3,26,8553,1494.0,0.003039869051794692,0.01740294511378849,0.007273422458615152
DNg108,ps1,113,15287,15938.0,0.007391901615751946,0.007089973647885556,0.007239363760956067
DNg82,b2,32,12969,1511.0,0.002467422314750559,0.021178027796161483,0.007228771566916224
DNg01,hg2,15,3603,1238.0,0.004163197335553705,0.012116316639741519,0.007102296611047508
DNut040,DLM1,75,35422,3173.0,0.002117328214104229,0.02363693665300977,0.007074401237589791
DNge110,b2,14,12969,306.0,0.0010794972627033695,0.0457516339869281,0.007027713970637631
